Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
232,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,6.3,160,226,70.8,2659,1324,2,12,16.7,137,164,83.5,21,50,42.0,0,0.0,0.0,0,9,2,1,25,Matches
233,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,27.0,718,1095,65.6,22831,13328,0,4,0.0,321,324,99.1,397,767,51.8,0,0.0,0.0,0,9,0,0,3,Matches
234,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,14.6,270,354,76.3,4047,821,14,35,40.0,216,253,85.4,40,66,60.6,3,2.1,+0.9,18,19,17,5,27,Matches
235,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.1,229,270,84.8,3400,791,6,15,40.0,203,222,91.4,20,33,60.6,1,0.6,+0.4,5,23,4,0,18,Matches
236,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,10.4,364,472,77.1,5581,1077,17,34,50.0,301,345,87.2,46,93,49.5,1,1.6,-0.6,16,19,13,1,40,Matches
237,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.3,12,14,85.7,235,80,0,1,0.0,9,10,90.0,3,3,100.0,0,0.1,-0.1,1,0,1,0,2,Matches
238,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.1,60,81,74.1,1315,254,1,3,33.3,37,49,75.5,22,29,75.9,0,0.1,-0.1,2,9,0,0,6,Matches
239,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,13.2,594,707,84.0,9753,2774,27,39,69.2,470,527,89.2,97,141,68.8,2,2.3,-0.3,28,60,14,3,83,Matches
240,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,5.6,465,497,93.6,9478,2913,1,6,16.7,344,352,97.7,120,139,86.3,0,0.1,-0.1,1,50,0,0,44,Matches
241,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,18.1,460,561,82.0,9805,2257,6,15,40.0,308,365,84.4,146,181,80.7,0,0.1,-0.1,2,18,1,0,11,Matches
242,Valentino Lazaro\Valentino-Lazaro,at AUT,DF,Newcastle Utd,23,1996,2.4,86,110,78.2,1348,529,4,5,80.0,69,76,90.8,13,29,44.8,0,0.1,-0.1,3,4,2,0,7,Matches
243,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,472,553,85.4,7841,1732,12,23,52.2,390,430,90.7,70,100,70.0,0,0.3,-0.3,8,46,16,2,45,Matches
244,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,136,187,72.7,2876,1077,0,3,0.0,97,117,82.9,39,67,58.2,0,0.1,-0.1,1,9,0,0,13,Matches
245,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.4,92,131,70.2,1435,349,3,14,21.4,75,92,81.5,14,25,56.0,0,0.1,-0.1,2,5,2,1,8,Matches
