Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
431,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
432,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,0,0,0,3,1,0,33.3,0.51,0.17,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
433,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,18.8,1,0,0,6,4,1,66.7,0.32,0.21,0.17,0.25,0.4,0.4,0.07,+0.6,+0.6,Matches
434,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,29.0,1,0,0,15,2,0,13.3,0.52,0.07,0.07,0.50,1.6,1.6,0.11,-0.6,-0.6,Matches
435,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,15.3,0,0,0,1,0,0,0.0,0.07,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
436,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,8.8,0,0,0,3,0,0,0.0,0.34,0.00,0.00,,0.2,0.2,0.07,-0.2,-0.2,Matches
437,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,19.9,1,0,0,19,3,0,15.8,0.95,0.15,0.05,0.33,0.7,0.7,0.03,+0.3,+0.3,Matches
438,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,23.9,3,0,0,44,11,0,25.0,1.84,0.46,0.07,0.27,2.4,2.4,0.05,+0.6,+0.6,Matches
439,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,3.3,0,0,0,2,0,0,0.0,0.60,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
440,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,1,0,0,9,2,0,22.2,0.51,0.11,0.11,0.50,1.3,1.3,0.14,-0.3,-0.3,Matches
441,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.4,1,0,0,7,3,0,42.9,0.49,0.21,0.14,0.33,0.6,0.6,0.08,+0.4,+0.4,Matches
442,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,15.2,1,0,0,20,6,0,30.0,1.31,0.39,0.05,0.17,1.6,1.6,0.08,-0.6,-0.6,Matches
443,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,1,0,0,11,3,0,27.3,3.41,0.93,0.09,0.33,0.8,0.8,0.07,+0.2,+0.2,Matches
444,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,1,0,0,4,2,0,50.0,2.05,1.02,0.25,0.50,0.8,0.8,0.19,+0.2,+0.2,Matches
445,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,8.8,1,0,0,5,4,0,80.0,0.57,0.45,0.20,0.25,0.2,0.2,0.04,+0.8,+0.8,Matches
446,Adama Traoré\Adama-Traore,es ESP,FWDF,Wolves,23,1996,23.0,4,0,0,34,9,0,26.5,1.48,0.39,0.12,0.44,2.3,2.3,0.07,+1.7,+1.7,Matches
447,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
448,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,14.7,3,0,0,37,10,2,27.0,2.52,0.68,0.08,0.30,2.8,2.8,0.07,+0.2,+0.2,Matches
449,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,16.0,3,0,0,26,9,0,34.6,1.62,0.56,0.12,0.33,2.6,2.6,0.10,+0.4,+0.4,Matches
450,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,11.4,0,0,0,11,2,0,18.2,0.96,0.17,0.00,0.00,0.4,0.4,0.04,-0.4,-0.4,Matches
451,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
452,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,7.2,0,0,0,3,2,0,66.7,0.42,0.28,0.00,0.00,0.3,0.3,0.09,-0.3,-0.3,Matches
453,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
454,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,24.7,19,4,5,62,30,0,48.4,2.51,1.21,0.24,0.50,14.2,10.4,0.18,+4.8,+4.6,Matches
455,Indiana Vassilev\Indiana-Vassilev,us USA,FW,Aston Villa,18,2001,0.4,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
456,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,17.2,1,0,0,4,2,0,50.0,0.23,0.12,0.25,0.50,0.4,0.4,0.11,+0.6,+0.6,Matches
457,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,12.6,1,0,0,8,4,0,50.0,0.63,0.32,0.13,0.25,0.8,0.8,0.10,+0.2,+0.2,Matches
458,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,5.9,0,0,0,5,0,0,0.0,0.85,0.00,0.00,,0.4,0.4,0.08,-0.4,-0.4,Matches
459,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,4.2,1,0,0,9,3,1,33.3,2.14,0.71,0.11,0.33,1.5,1.5,0.17,-0.5,-0.5,Matches
460,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,3.7,2,0,0,10,7,0,70.0,2.73,1.91,0.20,0.29,2.3,2.3,0.23,-0.3,-0.3,Matches
461,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,11.9,1,0,0,25,8,0,32.0,2.10,0.67,0.04,0.13,2.3,2.3,0.09,-1.3,-1.3,Matches
462,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,20.1,1,0,0,12,2,0,16.7,0.60,0.10,0.08,0.50,0.8,0.8,0.06,+0.2,+0.2,Matches
463,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,0,0,0,1,0,0,0.0,0.37,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
464,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,0.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
465,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,25.9,0,0,0,7,1,0,14.3,0.27,0.04,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4,Matches
466,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
467,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,17.5,0,0,0,3,1,0,33.3,0.17,0.06,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1,Matches
468,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,29.0,4,1,2,37,15,17,40.5,1.28,0.52,0.08,0.20,4.5,2.8,0.08,-0.5,+0.2,Matches
469,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,22.4,3,0,0,14,6,0,42.9,0.62,0.27,0.21,0.50,1.1,1.1,0.08,+1.9,+1.9,Matches
470,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,3.1,0,0,0,5,2,0,40.0,1.62,0.65,0.00,0.00,0.6,0.6,0.13,-0.6,-0.6,Matches
471,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,26.0,2,0,0,12,3,2,25.0,0.46,0.12,0.17,0.67,1.1,1.1,0.09,+0.9,+0.9,Matches
472,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.0,1,0,0,4,2,0,50.0,4.00,2.00,0.25,0.50,1.4,1.4,0.35,-0.4,-0.4,Matches
473,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,25.9,3,0,0,27,12,0,44.4,1.04,0.46,0.11,0.25,1.8,1.8,0.07,+1.2,+1.2,Matches
474,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,2,0,0,14,6,0,42.9,0.84,0.36,0.14,0.33,0.6,0.6,0.04,+1.4,+1.4,Matches
475,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,8.4,1,0,0,5,2,0,40.0,0.59,0.24,0.20,0.50,0.5,0.5,0.11,+0.5,+0.5,Matches
476,Willian\Willian,br BRA,FW,Chelsea,30,1988,21.4,5,1,1,52,17,4,32.7,2.43,0.79,0.08,0.24,3.6,2.9,0.06,+1.4,+1.1,Matches
477,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,19,1999,6.4,0,0,0,8,3,0,37.5,1.25,0.47,0.00,0.00,0.8,0.8,0.10,-0.8,-0.8,Matches
478,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,1.9,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
479,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,26.1,8,0,0,42,19,0,45.2,1.61,0.73,0.19,0.42,8.9,8.9,0.21,-0.9,-0.9,Matches
480,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,16.1,7,0,0,45,16,12,35.6,2.80,1.00,0.16,0.44,3.5,3.5,0.08,+3.5,+3.5,Matches
481,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,17.7,0,0,0,10,2,0,20.0,0.56,0.11,0.00,0.00,0.4,0.4,0.04,-0.4,-0.4,Matches
482,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,23.0,11,0,0,53,24,0,45.3,2.31,1.04,0.21,0.46,10.0,10.0,0.19,+1.0,+1.0,Matches
483,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,21.2,0,0,0,9,2,0,22.2,0.42,0.09,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
484,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MF,West Ham,29,1989,9.2,3,0,0,20,9,1,45.0,2.17,0.98,0.15,0.33,1.5,1.5,0.07,+1.5,+1.5,Matches
485,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,8.6,1,0,0,1,1,0,100.0,0.12,0.12,1.00,1.00,0.7,0.7,0.68,+0.3,+0.3,Matches
486,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,0,0,0,4,3,0,75.0,0.65,0.48,0.00,0.00,0.6,0.6,0.14,-0.6,-0.6,Matches
487,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,10.6,0,0,0,3,0,0,0.0,0.28,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
488,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.5,0,0,0,1,0,0,0.0,0.15,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
489,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,28.3,3,0,0,44,11,0,25.0,1.56,0.39,0.07,0.27,4.0,4.0,0.09,-1.0,-1.0,Matches
490,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,14.4,0,0,0,6,1,0,16.7,0.42,0.07,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4,Matches
491,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,10.1,0,0,0,12,2,0,16.7,1.19,0.20,0.00,0.00,0.3,0.3,0.03,-0.3,-0.3,Matches
492,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,20.0,0,0,0,12,4,0,33.3,0.60,0.20,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6,Matches
