Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
383,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,29.0,4,0.14,3,1,0,0,0,3,0.10,2,1,0,0,0,0,Matches
384,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,14.2,56,3.96,33,0,14,5,4,3,0.21,2,0,0,1,0,0,Matches
385,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,22.1,21,0.95,16,0,1,3,0,2,0.09,0,0,0,1,0,1,Matches
386,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,13.0,32,2.45,24,1,4,1,2,5,0.38,4,0,1,0,0,0,Matches
387,Mamadou Sakho\Mamadou-Sakho,fr FRA,DFMF,Crystal Palace,29,1990,5.2,1,0.19,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
388,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,25.0,90,3.60,55,4,19,8,4,12,0.48,4,2,4,1,1,0,Matches
389,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,3.9,8,2.04,5,0,1,0,1,1,0.25,0,0,0,0,0,1,Matches
390,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,1,0.80,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
391,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,21.0,4,0.19,3,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
392,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,13.6,50,3.67,37,1,3,3,6,5,0.37,4,0,0,0,1,0,Matches
393,Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,27,1991,15.5,13,0.84,10,0,1,2,0,3,0.19,2,0,0,1,0,0,Matches
