Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
275,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,7.3,138,136,2,1,1,41,1,22,0,0,0,0,78,32,28,23,102,7,1,1,86,0,0,5,13,Matches
276,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,13.6,641,500,141,12,0,124,27,48,8,5,1,1,235,122,284,402,43,44,121,2,406,2,18,8,20,Matches
277,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,10.1,569,481,88,8,1,135,17,25,0,0,0,0,367,110,92,429,33,23,80,0,455,2,7,10,26,Matches
278,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,8.1,493,466,27,8,2,114,10,22,8,4,1,2,355,65,73,417,61,4,6,2,420,1,3,6,14,Matches
279,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,10.7,652,639,13,9,1,151,19,3,0,0,0,0,489,74,89,529,79,25,4,3,556,1,10,13,14,Matches
280,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,27,1991,7.0,452,438,14,11,0,63,12,1,0,0,0,0,338,52,62,49,367,23,3,1,388,0,14,7,3,Matches
281,Neal Maupay\Neal-Maupay,fr FRA,FW,Brighton,22,1996,23.5,536,485,51,3,3,151,9,8,0,0,0,0,380,115,41,97,390,19,10,11,423,6,8,17,22,Matches
282,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,27.0,1102,1047,55,4,3,301,13,27,1,0,0,0,734,168,200,259,741,47,26,5,860,3,29,21,45,Matches
283,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,15.9,436,427,9,0,0,186,2,6,0,0,0,0,191,120,125,17,235,69,2,13,285,3,3,11,20,Matches
284,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,19.0,506,313,193,71,0,58,20,0,0,0,0,0,109,31,366,37,350,0,0,51,255,3,23,1,2,Matches
285,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,13.0,526,480,46,25,0,104,29,23,14,8,4,2,290,92,144,145,330,32,4,8,399,3,17,9,18,Matches
286,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,17.1,569,512,57,23,3,134,50,47,19,12,4,1,333,83,153,418,119,14,2,4,433,6,9,9,17,Matches
287,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,15.1,441,438,3,0,3,132,10,7,0,0,0,0,283,82,76,44,319,28,1,6,329,8,13,8,14,Matches
288,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,51,32,19,5,0,5,2,0,0,0,0,0,24,1,26,4,36,0,0,10,31,0,1,0,0,Matches
289,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,25.4,1302,1237,65,29,4,322,40,46,18,8,10,0,802,273,227,923,236,57,16,7,1010,5,29,28,32,Matches
290,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,28.2,915,815,100,45,3,236,79,192,48,43,1,2,524,107,284,822,36,30,7,2,614,8,16,17,53,Matches
291,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,17.2,825,802,23,22,2,143,42,12,0,0,0,0,604,94,127,32,732,35,1,4,663,2,14,19,21,Matches
292,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,29.0,1028,979,49,44,0,197,34,2,0,0,0,0,563,134,331,792,119,62,5,3,766,5,31,6,11,Matches
293,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,12.4,1002,908,94,11,0,131,25,72,0,0,0,0,698,184,120,819,79,16,83,0,861,4,10,16,26,Matches
294,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,2.2,133,132,1,1,0,22,2,2,0,0,0,0,108,10,15,15,113,4,0,0,123,1,1,1,1,Matches
295,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,21,1997,10.0,468,460,8,8,0,84,12,2,0,0,0,0,352,35,81,55,363,29,0,4,399,1,12,4,4,Matches
296,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,6.1,163,161,2,1,1,49,0,7,0,0,0,0,118,28,17,54,99,8,1,0,121,1,0,7,14,Matches
297,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,22.1,1196,981,215,121,1,200,91,128,87,52,24,5,690,166,340,146,972,45,4,11,910,2,29,18,14,Matches
298,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,8.4,632,581,51,11,3,101,25,17,7,3,1,1,423,117,92,68,516,13,23,3,540,3,10,9,10,Matches
299,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,23.2,1127,1093,34,33,0,196,49,4,0,0,0,0,795,129,203,139,879,72,1,1,964,3,17,12,9,Matches
300,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,0.9,39,39,0,0,0,16,2,2,0,0,0,0,31,2,6,8,29,1,0,0,37,0,1,0,0,Matches
301,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,22.3,979,942,37,35,2,166,41,7,0,0,0,0,689,96,194,797,109,45,2,3,800,2,25,13,17,Matches
302,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,77,73,4,1,2,13,3,4,2,0,2,0,62,6,9,20,52,2,1,0,58,2,3,0,5,Matches
303,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3.0,201,175,26,1,0,41,1,4,0,0,0,0,145,38,18,162,11,1,25,1,182,1,0,1,5,Matches
304,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,19.0,1162,941,221,11,0,193,34,41,1,0,1,0,590,304,268,129,771,42,209,1,935,2,6,30,38,Matches
305,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,1.0,22,12,10,5,0,1,2,0,0,0,0,0,3,0,19,3,12,0,0,2,6,0,1,1,0,Matches
306,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,18.4,896,825,71,17,3,198,37,91,47,19,20,7,553,156,187,151,709,20,6,3,682,5,14,16,35,Matches
307,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,19.9,377,361,16,0,0,115,12,7,0,0,0,0,221,94,62,16,282,33,2,10,277,3,6,6,11,Matches
308,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,1.8,81,80,1,1,0,12,0,0,0,0,0,0,68,5,8,9,70,1,0,1,71,1,0,0,1,Matches
309,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,0.1,6,6,0,0,0,2,0,0,0,0,0,0,5,1,0,1,5,0,0,0,4,0,0,1,1,Matches
310,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,25.6,1073,942,131,44,2,207,48,113,75,31,14,10,746,155,172,120,912,21,7,5,859,4,14,12,36,Matches
311,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,18.7,577,563,14,5,2,168,3,13,4,2,1,0,374,120,83,58,456,30,2,2,424,1,4,18,26,Matches
312,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,11.3,205,198,7,0,1,64,1,4,0,0,0,0,148,37,20,21,162,10,1,4,160,0,4,4,7,Matches
313,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,27.1,1581,1322,259,115,6,284,101,177,134,25,59,12,770,339,472,98,1390,70,5,5,1248,4,23,24,31,Matches
314,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,7.8,164,157,7,1,1,48,3,3,0,0,0,0,80,46,38,15,112,12,2,7,109,0,4,1,9,Matches
315,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,6.9,410,403,7,7,0,66,14,0,0,0,0,0,309,35,66,14,356,27,0,2,343,0,8,2,8,Matches
316,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,2.2,29,27,2,1,0,9,0,1,0,0,0,0,22,6,1,10,18,0,0,1,25,0,0,0,1,Matches
317,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
318,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,18.2,709,685,24,20,0,163,17,3,0,0,0,0,534,94,81,565,98,30,3,1,597,2,12,12,11,Matches
319,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,21.0,1132,1117,15,15,1,224,41,2,0,0,0,0,780,200,152,123,920,56,0,2,972,1,29,14,17,Matches
320,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,10.5,572,552,20,14,0,126,9,11,6,1,1,2,459,61,52,54,504,10,0,1,484,3,7,10,16,Matches
321,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,5.1,184,171,13,3,1,37,5,17,9,4,4,0,130,29,25,23,157,3,1,0,147,0,2,8,8,Matches
322,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,8.1,299,280,19,4,0,75,7,33,7,0,2,0,194,67,38,228,48,13,2,4,221,1,7,7,19,Matches
323,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,25.3,1391,1346,45,31,3,247,110,28,9,3,4,0,778,240,373,109,1188,70,5,4,1101,3,38,15,18,Matches
324,Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,4.0,119,78,41,0,0,31,2,7,0,0,0,0,31,28,60,13,54,6,41,1,67,0,3,7,4,Matches
325,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,0.2,5,5,0,0,0,2,0,1,0,0,0,0,3,2,0,1,3,0,0,1,3,0,0,1,0,Matches
326,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,2.8,56,51,5,0,0,12,0,0,0,0,0,0,43,10,3,6,45,2,0,1,44,0,1,2,2,Matches
327,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,23.9,1151,1073,78,43,3,222,53,22,6,3,2,0,674,227,250,84,1004,44,7,2,926,7,23,25,36,Matches
328,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,26.5,1667,1512,155,61,2,299,157,145,88,66,7,5,871,280,516,61,1481,87,6,2,1288,9,61,23,22,Matches
329,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,2.0,63,35,28,6,0,3,0,0,0,0,0,0,19,4,40,6,46,0,0,10,37,1,1,1,0,Matches
330,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,28.0,1326,1253,73,24,2,221,58,47,0,0,0,0,763,178,385,1098,50,84,49,4,986,5,37,9,33,Matches
331,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,5.4,115,113,2,0,1,43,0,1,0,0,0,0,76,28,11,12,88,5,0,4,93,0,1,4,7,Matches
332,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,24.0,715,701,14,14,0,147,14,1,0,0,0,0,423,98,194,443,162,57,0,4,555,4,16,1,7,Matches
333,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,5.7,157,156,1,0,0,48,11,15,0,0,0,0,94,28,35,23,113,9,0,2,113,1,5,2,4,Matches
334,Ben Osborn\Ben-Osborn,eng ENG,DFMF,Sheffield Utd,24,1994,1.4,69,61,8,0,1,21,1,2,0,0,0,0,35,21,13,51,9,0,8,0,50,1,4,0,3,Matches
335,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,15.7,1156,1145,11,8,0,120,29,0,0,0,0,0,984,77,95,77,1020,32,3,4,1076,1,6,11,10,Matches
336,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,12.3,566,555,11,1,3,115,28,31,0,0,0,0,343,96,127,72,456,16,6,6,447,2,19,13,18,Matches
337,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,16.1,891,801,90,30,0,181,17,71,57,15,22,13,644,116,131,778,94,10,0,7,754,5,5,12,22,Matches
338,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,11.4,850,718,132,11,2,146,15,54,21,8,3,2,556,150,144,662,43,31,100,1,704,2,9,9,20,Matches
339,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.9,973,932,41,31,0,150,42,1,0,0,0,0,748,103,122,34,893,17,10,2,873,2,10,5,7,Matches
340,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,0.1,5,4,1,0,0,2,0,0,0,0,0,0,3,2,0,2,2,0,1,0,5,0,0,0,0,Matches
341,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,29.0,656,380,276,53,0,41,22,0,0,0,0,0,173,46,437,353,144,2,0,94,416,3,21,4,1,Matches
342,Pedro\Pedro,es ESP,FW,Chelsea,32,1987,7.3,326,323,3,1,3,89,9,21,1,0,1,0,219,61,46,100,208,13,1,3,255,0,5,6,12,Matches
343,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,17.7,683,613,70,9,2,158,27,92,55,21,17,8,487,70,126,582,67,16,6,3,518,1,14,9,34,Matches
344,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,16.1,745,672,73,23,1,154,30,59,32,13,10,3,499,124,122,86,612,23,9,3,545,3,11,22,27,Matches
345,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28.0,1875,1553,322,17,3,335,20,57,0,0,0,0,1095,399,381,195,1312,41,305,4,1513,3,18,46,67,Matches
346,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,14.7,547,518,29,3,4,109,12,21,15,3,6,1,345,119,83,79,420,29,10,5,451,1,9,15,14,Matches
347,Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,17.7,588,579,9,4,6,150,9,24,0,0,0,0,400,125,63,54,492,14,5,11,464,2,8,13,34,Matches
348,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,29.0,1036,720,316,116,1,111,58,0,0,0,0,0,369,58,609,646,183,0,0,133,649,5,50,5,0,Matches
349,Brandon Pierrick\Brandon-Pierrick,eng ENG,DF,Crystal Palace,17,2001,0.1,8,8,0,0,0,3,0,2,0,0,0,0,6,2,0,0,8,0,0,0,5,0,0,0,3,Matches
350,Erik Pieters\Erik-Pieters,nl NED,DF,Burnley,30,1988,13.7,657,495,162,10,0,151,15,27,0,0,0,0,300,151,206,429,34,23,152,4,485,2,9,13,27,Matches
351,Daniel Podence\Daniel-Podence,pt POR,MFFW,Wolves,23,1995,0.5,20,20,0,0,0,7,0,1,0,0,0,0,14,4,2,2,16,2,0,0,16,1,0,1,1,Matches
352,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,5.8,458,442,16,15,5,138,25,2,0,0,0,0,326,62,70,62,373,10,1,3,381,2,7,6,13,Matches
353,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,29.0,897,543,354,128,1,89,26,0,1,1,0,0,148,53,696,50,636,2,1,123,402,7,44,4,4,Matches
354,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,10.8,447,442,5,3,2,87,10,16,0,0,0,0,300,76,71,35,375,31,2,2,371,1,6,6,16,Matches
355,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,0.6,10,10,0,0,0,2,0,0,0,0,0,0,3,2,5,1,6,1,0,0,6,0,1,0,0,Matches
356,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,26.0,1552,1529,23,16,5,292,25,32,0,0,0,0,1140,239,173,128,1349,55,4,6,1308,4,27,34,41,Matches
357,Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,29,1990,27.6,451,397,54,0,2,125,3,8,0,0,0,0,329,86,36,83,328,21,2,14,367,0,4,8,22,Matches
358,Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,20,1998,12.0,451,445,6,1,2,145,14,25,4,3,0,0,328,63,60,94,330,16,1,2,351,1,6,7,21,Matches
359,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWMF,Watford,23,1995,0.6,22,21,1,1,0,5,0,3,0,0,0,0,7,6,9,4,14,3,0,0,13,0,0,1,0,Matches
360,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,0.2,9,9,0,0,0,0,0,0,0,0,0,0,8,1,0,0,9,0,0,0,9,0,0,0,0,Matches
361,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,28.0,865,535,330,95,1,88,27,0,0,0,0,0,344,42,479,47,622,0,0,148,510,2,40,3,4,Matches
362,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,40,22,18,4,0,1,0,0,0,0,0,0,4,1,35,0,30,0,0,3,22,1,0,0,0,Matches
363,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,20.9,605,585,20,2,4,118,12,24,6,3,1,2,452,77,76,59,502,20,5,9,452,2,11,22,33,Matches
364,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,21.8,704,688,16,0,3,219,22,26,0,0,0,0,463,131,110,50,611,26,2,2,509,4,17,21,31,Matches
365,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,6.0,196,137,59,19,0,33,11,0,0,0,0,0,80,20,96,18,140,0,0,29,142,1,3,0,0,Matches
366,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,29.0,1294,1272,22,19,1,268,55,20,0,0,0,0,894,194,206,230,966,64,3,2,1112,3,25,19,20,Matches
367,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,26.2,664,642,22,2,4,211,11,49,2,0,1,0,400,160,104,159,426,35,7,6,434,0,22,21,64,Matches
368,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,19.9,1145,860,285,43,2,180,30,123,50,25,15,6,516,287,342,830,49,62,192,2,792,4,31,29,51,Matches
369,Jaïro Riedewald\Jairo-Riedewald,nl NED,DF,Crystal Palace,22,1996,6.8,331,255,76,11,0,48,5,4,0,0,0,0,178,61,92,228,18,16,65,0,242,1,6,11,1,Matches
370,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,7.9,364,269,95,12,0,84,27,58,40,16,16,2,176,79,109,246,52,16,43,1,242,2,5,7,19,Matches
371,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,232,155,77,36,0,14,2,0,0,0,0,0,53,13,166,7,181,0,0,26,113,1,4,0,0,Matches
372,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,10,9,1,0,0,1,1,0,0,0,0,0,7,2,1,9,1,0,0,0,7,0,0,1,0,Matches
373,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,27.2,2209,1927,282,33,4,280,62,142,17,4,9,0,1367,407,435,1760,138,66,232,2,1789,3,34,33,61,Matches
374,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,155,146,9,0,1,38,9,15,0,0,0,0,105,26,24,31,114,4,1,2,117,0,5,3,7,Matches
375,Rodri\Rodri,es ESP,MFDF,Manchester City,23,1996,21.7,1957,1933,24,22,0,410,81,7,0,0,0,0,1529,212,216,265,1584,62,2,10,1813,1,20,15,14,Matches
376,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,15.3,343,331,12,2,0,114,7,9,0,0,0,0,175,106,62,18,248,27,0,12,238,0,4,7,19,Matches
377,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.3,55,45,10,2,0,6,2,3,0,0,0,0,25,12,18,39,5,1,8,0,37,0,3,0,0,Matches
378,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,14.5,687,676,11,10,1,161,13,3,0,0,0,0,441,102,144,128,473,59,1,5,565,1,9,9,6,Matches
379,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,3.9,196,170,26,4,0,29,1,4,0,0,0,0,118,40,38,143,19,8,22,0,149,2,3,4,7,Matches
380,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,9.9,572,480,92,17,0,69,5,39,1,0,1,0,353,91,128,412,67,13,74,0,435,3,1,15,22,Matches
381,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,12.5,882,863,19,15,0,146,48,5,0,0,0,0,630,108,144,156,668,30,4,5,764,4,17,5,13,Matches
382,Lukas Rupp\Lukas-Rupp,de GER,FW,Norwich City,28,1991,3.8,129,127,2,1,2,39,1,2,0,0,0,0,74,32,23,24,94,6,1,0,96,0,2,6,4,Matches
383,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,29.0,1117,878,239,40,0,175,37,0,0,0,0,0,638,84,395,138,750,3,0,189,914,5,35,5,5,Matches
384,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,14.2,310,303,7,0,3,91,10,33,0,0,0,0,206,57,47,40,251,8,6,1,219,2,4,10,22,Matches
385,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,22.1,1101,1064,37,30,0,134,50,7,0,0,0,0,675,170,256,888,93,71,7,5,904,1,20,15,23,Matches
386,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,13.0,638,537,101,10,2,145,14,47,3,0,1,1,398,131,109,424,109,11,88,0,501,1,16,17,25,Matches
387,Mamadou Sakho\Mamadou-Sakho,fr FRA,DFMF,Crystal Palace,29,1990,5.2,266,260,6,6,0,52,4,0,0,0,0,0,204,25,37,203,45,10,0,2,235,0,2,3,2,Matches
388,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,25.0,766,718,48,4,8,207,16,39,27,2,15,3,539,125,102,608,125,10,7,8,564,2,11,22,41,Matches
389,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,3.9,61,58,3,0,0,19,0,0,0,0,0,0,33,12,16,6,36,5,0,5,49,0,0,1,1,Matches
390,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,55,55,0,0,0,15,1,0,0,0,0,0,28,13,14,14,32,5,0,2,45,0,0,1,1,Matches
391,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,21.0,1187,1155,32,20,0,184,29,1,0,0,0,0,919,121,147,170,930,55,12,3,1030,1,14,12,14,Matches
392,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,13.6,382,379,3,0,2,98,6,56,1,0,1,0,261,73,48,23,337,8,0,5,283,3,6,9,20,Matches
393,Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,27,1991,15.5,613,555,58,36,0,112,62,10,0,0,0,0,303,89,221,85,462,32,22,0,445,8,17,6,9,Matches
394,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,3.2,144,110,34,1,0,31,1,13,0,0,0,0,60,50,34,10,90,6,33,0,104,0,2,2,5,Matches
395,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,9.5,278,260,18,3,1,66,7,7,0,0,0,0,175,47,56,187,47,13,15,3,209,2,4,7,8,Matches
396,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,29.0,918,635,283,87,0,94,52,0,0,0,0,0,485,78,355,51,704,3,0,122,704,5,35,2,2,Matches
397,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,567,550,17,10,0,97,30,8,0,0,0,0,338,117,112,77,452,22,0,3,494,0,4,6,9,Matches
398,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,195,168,27,2,0,39,5,13,1,0,1,0,119,42,34,151,11,4,24,0,145,0,1,4,8,Matches
399,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,1.9,101,90,11,2,0,20,2,5,4,3,0,0,58,25,18,75,17,2,5,0,83,2,0,4,2,Matches
400,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,7.4,158,155,3,0,0,54,1,7,0,0,0,0,102,39,17,12,124,11,0,5,118,1,3,7,8,Matches
401,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,13.7,906,791,115,13,1,182,11,25,4,4,0,0,621,141,144,674,73,46,98,2,776,0,10,15,22,Matches
402,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,14.9,657,582,75,29,3,157,66,53,42,15,19,3,340,85,232,73,553,20,1,2,469,7,18,17,5,Matches
403,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,18.2,1017,835,182,15,0,169,27,64,1,0,0,0,565,251,201,125,663,43,166,2,782,4,20,25,41,Matches
404,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,22.2,829,715,114,36,2,137,40,117,62,23,33,4,494,150,185,122,654,29,3,6,624,1,19,11,29,Matches
405,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,16.6,1066,1021,45,8,3,218,14,57,15,1,1,0,800,161,105,936,67,30,22,2,914,2,6,12,35,Matches
406,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,14.0,992,953,39,11,9,217,8,28,5,0,1,0,786,133,73,865,102,15,4,2,840,6,9,25,34,Matches
407,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1997,2.6,100,86,14,0,0,17,3,0,0,0,0,0,53,27,20,68,15,1,14,0,70,1,8,3,3,Matches
408,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,18.8,941,889,52,12,2,162,17,21,0,0,0,0,690,145,106,91,740,38,40,11,807,2,8,20,14,Matches
409,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.6,27,27,0,0,0,4,0,0,0,0,0,0,23,2,2,1,24,2,0,0,25,0,1,1,0,Matches
410,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,1.8,107,101,6,1,0,24,3,1,0,0,0,0,69,18,20,9,93,3,0,0,89,0,2,1,4,Matches
411,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,17.3,817,654,163,17,1,150,8,21,0,0,0,0,455,158,204,48,565,39,146,1,642,3,17,12,31,Matches
412,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,36,36,0,0,0,8,1,1,0,0,0,0,27,6,3,3,32,1,0,0,30,0,1,1,1,Matches
413,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,635,529,106,32,2,113,37,135,72,27,24,19,326,103,206,541,53,29,1,2,435,3,6,15,24,Matches
