Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,6.9,418,342,76,11,1,53,3,20,0,0,0,0,268,88,62,30,306,13,65,0,341,1,3,8,15,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,239,224,15,3,0,41,8,4,0,0,0,0,134,26,79,14,180,17,12,2,185,1,5,3,1,Matches
44,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,3.0,136,130,6,6,0,22,5,0,0,0,0,0,95,24,17,110,15,6,0,2,118,0,2,2,3,Matches
45,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,10.2,241,231,10,0,2,98,3,4,0,0,0,0,111,64,66,17,127,29,0,7,143,0,3,7,10,Matches
46,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,4.5,119,113,6,0,0,31,13,25,6,6,0,0,57,21,41,92,19,6,0,0,73,0,2,1,5,Matches
47,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,2.3,81,79,2,1,0,33,2,5,0,0,0,0,47,27,7,10,57,5,1,1,57,0,2,2,5,Matches
48,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,4.6,127,120,7,2,0,38,0,2,1,0,0,0,89,27,11,5,106,7,1,4,114,0,3,0,0,Matches
49,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,11.4,458,446,12,2,4,96,9,32,6,5,0,0,332,64,62,123,324,7,1,2,333,0,13,15,25,Matches
50,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,6.0,312,264,48,1,0,72,1,14,0,0,0,0,160,79,73,211,24,14,47,2,238,0,9,8,13,Matches
51,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,22.5,1171,861,310,34,0,195,33,94,24,6,10,7,564,252,355,749,71,63,252,6,860,5,20,21,50,Matches
52,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.7,106,104,2,2,0,24,5,1,0,0,0,0,69,20,17,14,80,8,0,0,86,0,0,3,5,Matches
53,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,24.1,1027,975,52,20,3,235,19,13,0,0,0,0,620,184,223,732,116,84,32,4,782,3,35,18,22,Matches
54,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,7.4,370,362,8,6,0,70,16,5,0,0,0,0,246,69,55,29,317,12,2,4,310,0,5,7,5,Matches
55,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,13.0,509,496,13,10,4,97,13,2,0,0,0,0,334,56,119,58,395,27,3,2,403,2,9,9,8,Matches
