Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
119,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,11.9,1,0,0,13,9,0,1,20,8,0,0,0,123,59,14,80.8,Matches
120,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.7,2,0,0,4,6,0,15,19,6,0,0,1,121,35,23,60.3,Matches
121,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,27.0,9,0,0,16,15,0,1,43,23,0,0,0,342,67,35,65.7,Matches
122,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,24.1,3,1,0,2,2,0,0,2,1,0,0,0,107,0,0,,Matches
123,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,26.9,2,0,0,27,13,1,2,42,23,0,1,0,275,98,42,70.0,Matches
124,Harvey Elliot\Harvey-Elliot,eng ENG,FW,Liverpool,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
125,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,8.5,0,0,0,8,4,2,42,10,13,0,0,0,82,15,13,53.6,Matches
126,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,1,0,0,5,5,1,2,29,4,0,2,0,128,58,28,67.4,Matches
127,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.1,5,0,0,9,6,2,72,11,12,0,0,0,138,3,9,25.0,Matches
128,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,28.6,5,0,0,14,17,1,4,40,24,1,0,0,292,94,39,70.7,Matches
129,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,14.5,1,0,0,1,1,0,0,1,0,0,1,0,78,0,0,,Matches
130,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,16.0,5,0,0,23,14,0,8,25,35,0,0,0,231,31,20,60.8,Matches
131,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
132,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,17.0,5,0,0,18,8,1,42,28,23,0,0,0,168,16,7,69.6,Matches
133,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,5.0,1,0,0,5,7,1,25,4,5,1,0,0,37,1,5,16.7,Matches
134,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.4,0,0,0,0,0,0,3,0,1,0,0,0,6,0,1,0.0,Matches
135,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,20.1,4,0,0,13,9,2,25,13,27,0,0,0,184,48,32,60.0,Matches
136,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,22.2,8,1,1,21,14,1,3,22,20,0,0,1,256,54,28,65.9,Matches
137,Roberto Firmino\Roberto-Firmino,br BRA,FWMF,Liverpool,27,1991,26.9,0,0,0,24,13,5,7,5,21,0,0,0,152,26,62,29.5,Matches
138,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,24.3,7,0,0,21,16,1,131,20,21,0,0,0,226,11,25,30.6,Matches
139,Phil Foden\Phil-Foden,eng ENG,MFFW,Manchester City,19,2000,3.9,0,0,0,7,8,0,6,2,5,0,0,0,22,3,5,37.5,Matches
